Subdominio,IPs
www.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
www.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
www.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
www.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
www.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
mail.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
mail.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
mail.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
mail.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
mail.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
test.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
test.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
test.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
test.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
test.wikipedia.org,"208.80.153.224, 2620:0:860:ed1a::1"
